Lions,Vikings,Division,
Lions,Bears,Division,
Bears,Lions,Division,
Vikings,Lions,Division,
Giants,Lions,GiantsJetsStadium,
Vikings,Bears,Division,
Bears,Vikings,Division,
Redskins,Vikings,,
Eagles,Bears,,
Cowboys,Giants,Division,
Cowboys,Eagles,Division,
Cowboys,Redskins,Division,
Giants,Cowboys,GiantsJetsStadium,Division
Eagles,Cowboys,Division,
Redskins,Cowboys,Division,
Giants,Eagles,GiantsJetsStadium,Division
Giants,Redskins,GiantsJetsStadium,Division
Eagles,Giants,Division,
Redskins,Giants,Division,
Redskins,Eagles,Division,
Eagles,Redskins,Division,
Broncos,,Bye,
Chiefs,,Bye,
Chargers,,Bye,
Bills,,Bye,
Jets,,Bye,
Steelers,,Bye,
Bengals,,Bye,
Texans,,Bye,
Titans,,Bye,
Colts,,Bye,
Falcons,,Bye,
Buccaneers,,Bye,
Panthers,,Bye,
Seahawks,,Bye,
49ers,,Bye,
Packers,,Bye,
Lions,,Bye,
Bears,,Bye,
Cowboys,,Bye,
Giants,,Bye,
Redskins,,Bye,
Eagles,,Bye,
